date,producer_granule_id,download_url
2023-11-15,OMI-Aura_L3-OMDOAO3e_2023m1115_v003-2023m1117t023615.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2023/OMI-Aura_L3-OMDOAO3e_2023m1115_v003-2023m1117t023615.he5
2023-12-15,OMI-Aura_L3-OMDOAO3e_2023m1215_v003-2023m1217t031905.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2023/OMI-Aura_L3-OMDOAO3e_2023m1215_v003-2023m1217t031905.he5
2024-01-15,OMI-Aura_L3-OMDOAO3e_2024m0115_v003-2024m0117t034409.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2024/OMI-Aura_L3-OMDOAO3e_2024m0115_v003-2024m0117t034409.he5
2024-02-15,OMI-Aura_L3-OMDOAO3e_2024m0215_v003-2024m0217t012016.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2024/OMI-Aura_L3-OMDOAO3e_2024m0215_v003-2024m0217t012016.he5
2024-03-15,OMI-Aura_L3-OMDOAO3e_2024m0315_v003-2024m0319t184816.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2024/OMI-Aura_L3-OMDOAO3e_2024m0315_v003-2024m0319t184816.he5
2024-04-15,OMI-Aura_L3-OMDOAO3e_2024m0415_v003-2024m0417t033858.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2024/OMI-Aura_L3-OMDOAO3e_2024m0415_v003-2024m0417t033858.he5
2024-05-15,OMI-Aura_L3-OMDOAO3e_2024m0515_v003-2024m0517t023139.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2024/OMI-Aura_L3-OMDOAO3e_2024m0515_v003-2024m0517t023139.he5
2024-06-15,OMI-Aura_L3-OMDOAO3e_2024m0615_v003-2024m0619t153120.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2024/OMI-Aura_L3-OMDOAO3e_2024m0615_v003-2024m0619t153120.he5
2024-07-15,OMI-Aura_L3-OMDOAO3e_2024m0715_v003-2024m0717t022818.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2024/OMI-Aura_L3-OMDOAO3e_2024m0715_v003-2024m0717t022818.he5
2024-08-15,OMI-Aura_L3-OMDOAO3e_2024m0815_v003-2024m0817t013736.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2024/OMI-Aura_L3-OMDOAO3e_2024m0815_v003-2024m0817t013736.he5
2024-09-15,OMI-Aura_L3-OMDOAO3e_2024m0915_v003-2024m0917t122925.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2024/OMI-Aura_L3-OMDOAO3e_2024m0915_v003-2024m0917t122925.he5
2024-10-15,OMI-Aura_L3-OMDOAO3e_2024m1015_v003-2024m1017t040338.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2024/OMI-Aura_L3-OMDOAO3e_2024m1015_v003-2024m1017t040338.he5
2024-11-15,OMI-Aura_L3-OMDOAO3e_2024m1115_v003-2024m1117t003404.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2024/OMI-Aura_L3-OMDOAO3e_2024m1115_v003-2024m1117t003404.he5
2024-12-15,OMI-Aura_L3-OMDOAO3e_2024m1215_v003-2024m1217t012337.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2024/OMI-Aura_L3-OMDOAO3e_2024m1215_v003-2024m1217t012337.he5
2025-01-15,OMI-Aura_L3-OMDOAO3e_2025m0115_v003-2025m0117t003138.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2025/OMI-Aura_L3-OMDOAO3e_2025m0115_v003-2025m0117t003138.he5
2025-02-15,OMI-Aura_L3-OMDOAO3e_2025m0215_v003-2025m0217t002452.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2025/OMI-Aura_L3-OMDOAO3e_2025m0215_v003-2025m0217t002452.he5
2025-03-15,OMI-Aura_L3-OMDOAO3e_2025m0315_v003-2025m0317t021959.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2025/OMI-Aura_L3-OMDOAO3e_2025m0315_v003-2025m0317t021959.he5
2025-04-15,OMI-Aura_L3-OMDOAO3e_2025m0415_v003-2025m0417t112222.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2025/OMI-Aura_L3-OMDOAO3e_2025m0415_v003-2025m0417t112222.he5
2025-05-15,OMI-Aura_L3-OMDOAO3e_2025m0515_v003-2025m0517t013324.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2025/OMI-Aura_L3-OMDOAO3e_2025m0515_v003-2025m0517t013324.he5
2025-06-15,OMI-Aura_L3-OMDOAO3e_2025m0615_v003-2025m0617t023649.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2025/OMI-Aura_L3-OMDOAO3e_2025m0615_v003-2025m0617t023649.he5
2025-07-15,OMI-Aura_L3-OMDOAO3e_2025m0715_v003-2025m0717t012405.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2025/OMI-Aura_L3-OMDOAO3e_2025m0715_v003-2025m0717t012405.he5
2025-08-15,OMI-Aura_L3-OMDOAO3e_2025m0815_v003-2025m0817t013919.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2025/OMI-Aura_L3-OMDOAO3e_2025m0815_v003-2025m0817t013919.he5
2025-09-15,OMI-Aura_L3-OMDOAO3e_2025m0915_v003-2025m0917t012452.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2025/OMI-Aura_L3-OMDOAO3e_2025m0915_v003-2025m0917t012452.he5
2025-10-15,OMI-Aura_L3-OMDOAO3e_2025m1015_v003-2025m1017t011117.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2025/OMI-Aura_L3-OMDOAO3e_2025m1015_v003-2025m1017t011117.he5
2025-11-15,OMI-Aura_L3-OMDOAO3e_2025m1115_v003-2025m1117t023213.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2025/OMI-Aura_L3-OMDOAO3e_2025m1115_v003-2025m1117t023213.he5
2025-12-15,OMI-Aura_L3-OMDOAO3e_2025m1215_v003-2025m1218t001245.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2025/OMI-Aura_L3-OMDOAO3e_2025m1215_v003-2025m1218t001245.he5
2026-01-15,OMI-Aura_L3-OMDOAO3e_2026m0115_v003-2026m0117t042823.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2026/OMI-Aura_L3-OMDOAO3e_2026m0115_v003-2026m0117t042823.he5
2026-02-15,OMI-Aura_L3-OMDOAO3e_2026m0215_v003-2026m0217t002735.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2026/OMI-Aura_L3-OMDOAO3e_2026m0215_v003-2026m0217t002735.he5
2026-03-15,OMI-Aura_L3-OMDOAO3e_2026m0315_v003-2026m0317t100718.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2026/OMI-Aura_L3-OMDOAO3e_2026m0315_v003-2026m0317t100718.he5
2026-04-15,OMI-Aura_L3-OMDOAO3e_2026m0415_v003-2026m0417t015412.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2026/OMI-Aura_L3-OMDOAO3e_2026m0415_v003-2026m0417t015412.he5
2026-05-15,OMI-Aura_L3-OMDOAO3e_2026m0515_v003-2026m0517t014412.he5,https://data.gesdisc.earthdata.nasa.gov/data/Aura_OMI_Level3/OMDOAO3e.003/2026/OMI-Aura_L3-OMDOAO3e_2026m0515_v003-2026m0517t014412.he5
